Starting packet inspection in foreground
Source IP            Destination IP       Protocol   Source Port     Destination Port
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
3.140.85.105         10.114.18.159        TCP        443             61198          
3.140.85.105         10.114.18.159        TCP        443             61198          
10.114.18.159        3.140.85.105         TCP        61198           443            
3.140.85.105         10.114.18.159        TCP        443             61198          
10.114.18.159        3.140.85.105         TCP        61198           443            
162.159.130.234      10.114.18.159        TCP        443             56827          
10.114.18.159        162.159.130.234      TCP        56827           443            
162.159.130.234      10.114.18.159        TCP        443             56827          
10.114.18.159        162.159.130.234      TCP        56827           443            
128.203.87.177       10.114.18.159        TCP        443             52876          
128.203.87.177       10.114.18.159        TCP        443             52876          
128.203.87.177       10.114.18.159        TCP        443             52876          
44.229.222.36        10.114.18.159        TCP        443             51213          
10.114.18.159        128.203.87.177       TCP        52876           443            
10.114.18.159        44.229.222.36        TCP        51213           443            
10.114.18.159        128.203.87.177       TCP        52876           443            
162.159.130.234      10.114.18.159        TCP        443             56827          
10.114.18.159        162.159.130.234      TCP        56827           443            
44.229.222.36        10.114.18.159        TCP        443             51213          
10.114.18.159        44.229.222.36        TCP        51213           443            
Source IP            Destination IP       Protocol   Source Port     Destination Port
--------------------------------------------------------------------------------
10.114.18.159        13.107.138.10        ICMP       N/A             N/A            
32.132.136.174       10.114.18.159        ICMP       N/A             N/A            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        142.250.189.227      UDP        57634           443            
10.114.18.159        13.107.138.10        ICMP       N/A             N/A            
142.250.189.227      10.114.18.159        UDP        443             57634          
10.114.18.159        142.250.189.227      UDP        57634           443            
142.250.189.227      10.114.18.159        UDP        443             57634          
142.250.189.234      10.114.18.159        TCP        443             58574          
142.250.189.234      10.114.18.159        TCP        443             58574          
10.114.18.159        142.250.189.234      TCP        58574           443            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        13.107.138.10        ICMP       N/A             N/A            
10.114.18.159        142.250.189.234      TCP        58574           443            
10.114.18.159        142.250.189.234      TCP        58574           443            
13.104.141.150       10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.234      TCP        58574           443            
10.114.18.159        142.250.189.234      TCP        58574           443            
142.250.189.234      10.114.18.159        TCP        443             58574          
142.250.189.234      10.114.18.159        TCP        443             58574          
142.250.189.234      10.114.18.159        TCP        443             58574          
142.250.189.234      10.114.18.159        TCP        443             58574          
10.114.18.159        142.250.189.234      TCP        58574           443            
142.250.189.234      10.114.18.159        TCP        443             58574          
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        10.126.136.6         UDP        51519           53             
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.126.136.6         10.114.18.159        UDP        53              51519          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        13.107.138.10        ICMP       N/A             N/A            
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
172.217.12.106       10.114.18.159        TCP        443             60983          
10.114.18.159        172.217.12.106       TCP        60983           443            
172.217.12.106       10.114.18.159        TCP        443             60983          
